name,wigosid,country code,in OSCAR,longitude,latitude,#received,#expected,default schedule,color code,description,date,center
CHENZHOU,0-20000-0-57972,CHN,True,112.97389,25.73528,58,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
CHONGQING (57516-1),0-20001-0-57516,CHN,True,106.4,29.6,58,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
FUYANG,0-20000-0-58203,CHN,True,115.73333,32.86667,60,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
GANZHOU (57993-1),0-20001-0-57993,CHN,True,115.0,25.86667,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
GOLMUD,0-20000-0-52818,CHN,True,94.9,36.41667,60,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
GUILIN,0-20000-0-57957,CHN,True,110.3,25.33333,58,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
GUIYANG (57816-1),0-20001-0-57816,CHN,True,106.65,26.48333,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
HANGZHOU,0-20000-0-58457,CHN,True,120.16667,30.23333,62,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
HONGJIA,0-20000-0-58665,CHN,True,121.41667,28.61667,62,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
KUNMING,0-20000-0-56778,CHN,True,102.68333,25.01667,58,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
MINFENG,0-20000-0-51839,CHN,True,82.71667,37.06667,62,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
NAGQU,0-20000-0-55299,CHN,True,92.06667,31.48333,58,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
QINGYUAN (59280-0),0-20000-0-59280,CHN,True,113.08333,23.71667,60,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
SHANTOU (59316-1),0-20001-0-59316,CHN,True,116.66667,23.35,58,62,True,green,Complete,2026-07-01 00:00:00+00:00,NCEP
SHEYANG,0-20000-0-58150,CHN,True,120.3,33.75,62,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
TAIBEI,0-20000-0-58968,CHN,True,121.51667,25.03333,0,62,False,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
TAIYUAN (53772-1),0-20001-0-53772,CHN,True,112.57667,37.62056,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
WENJIANG (56187-1),0-20001-0-56187,CHN,True,103.86667,30.75,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
WUZHOU,0-20000-0-59265,CHN,True,111.3,23.48333,56,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
XIAMEN,0-20000-0-59134,CHN,True,118.08333,24.48333,60,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
YICHUN (50774-1),0-20001-0-50774,CHN,True,128.83333,47.71667,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
YINCHUAN,0-20000-0-53614,CHN,True,106.2,38.46667,60,62,False,green,Complete,2026-07-01 00:00:00+00:00,NCEP
ZHANGQIU,0-20000-0-54727,CHN,True,117.5,36.65,60,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
KARAIKAL,0-20000-0-43346,IND,True,79.83333,10.91667,19,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
KOLKATA/DUM DUM,0-20000-0-42809,IND,True,88.45,22.65,56,62,True,green,Complete,2026-07-01 00:00:00+00:00,DWD
LUCKNOW/AMAUSI,0-20000-0-42369,IND,True,80.8833,26.75,54,62,True,green,Complete,2026-07-01 00:00:00+00:00,DWD
PATIALA,0-20000-0-42101,IND,True,76.46667,30.33333,22,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
AHWAZ,0-20000-0-40811,IRN,True,48.7441,31.3447,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
AKITA (47582-1),0-20001-0-47582,JPN,True,140.09917,39.7175,56,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
KUSHIRO (47418-1),0-20001-0-47418,JPN,True,144.4375,42.95306,49,62,False,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,NCEP
NAZE/FUNCHATOGE,0-20001-0-47909,JPN,True,129.55278,28.39417,64,62,False,purple,More than declared in OSCAR/Surface,2026-07-01 00:00:00+00:00,NCEP
SHIONOMISAKI (47778-1),0-20001-0-47778,JPN,True,135.75722,33.45028,67,62,False,purple,More than declared in OSCAR/Surface,2026-07-01 00:00:00+00:00,NCEP
TATENO,0-20000-0-47646,JPN,True,140.12583,36.05806,40,62,False,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
GWANGJU AB,0-20000-0-47158,KOR,True,126.8,35.11667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
National Typhoon Center,0-20000-0-47186,KOR,True,126.6784,33.33147,124,62,False,purple,More than declared in OSCAR/Surface,2026-07-01 00:00:00+00:00,ECMWF
OSAN AB,0-20000-0-47122,KOR,True,127.03333,37.08333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
HAMAD INTERNATIONAL AIRPORT,0-20000-0-41169,QAT,True,51.60806,25.27306,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
ABAKAN,0-20000-0-29862,RUS,True,91.31667,53.76667,52,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
ANGARSK,0-20000-0-30715,RUS,True,103.85,52.48333,56,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
BARNAUL (29839-0),0-20000-0-29839,RUS,True,83.83333,53.5,51,62,True,green,Complete,2026-07-01 00:00:00+00:00,NCEP
